"timeslice","hour"
"WDE2",2016-05-31 01:00:00
"WDE3",2016-05-31 02:00:00
"WDE4",2016-05-31 03:00:00
"WDE5",2016-05-31 04:00:00
"WDE6",2016-05-31 05:00:00
"WDE7",2016-05-31 06:00:00
"WDE8",2016-05-31 07:00:00
"WDE9",2016-05-31 08:00:00
"WDE10",2016-05-31 09:00:00
"WDE11",2016-05-31 10:00:00
"WDE12",2016-05-31 11:00:00
"WDE13",2016-05-31 12:00:00
"WDE14",2016-05-31 13:00:00
"WDE15",2016-05-31 14:00:00
"WDE16",2016-05-31 15:00:00
"WDE17",2016-05-31 16:00:00
"WDE18",2016-05-31 17:00:00
"WDE19",2016-05-31 18:00:00
"WDE20",2016-05-31 19:00:00
"WDE21",2016-05-31 20:00:00
"WDE22",2016-05-31 21:00:00
"WDE23",2016-05-31 22:00:00
